,super_opeid,name_x,type_x,tier_x,iclevel_x,region_x,barrons,exp_instr_pc_2013,hbcu,ipeds_enrollment_2013,sticker_price_2013,public,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,endowment_pc_2000,exp_instr_2012,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,k_median_nozero_adjusted,staircase_score,upward_mobility_score,downward_mobility_score,shoots_and_ladders,sticker_price_preds,tech_school,social_eliteness_score,UMS_prediction,rejection_rate_preds,LinReg_Predict_UM_Score,upward_mobility_bucket,um_bucket_level,um_bucket_pred_class,LogReg_Predicted_Class,um_bucket_pred_proba_class1,um_bucket_pred_proba_class2,um_bucket_pred_proba_class3,um_bucket_pred_proba_class4,um_bucket_pred_proba_class5,um_bucket_pred_class_knn,KNN_Predicted_Class,um_bucket_pred_proba_knn_class1,um_bucket_pred_proba_knn_class2,um_bucket_pred_proba_knn_class3,um_bucket_pred_proba_knn_class4,um_bucket_pred_proba_knn_class5,RF_Regressor_Predicted_UM_Score,Predicted_RF_Class,RF_Pred_Class1,RF_Pred_Class2,RF_Pred_Class3,RF_Pred_Class4,RF_Pred_Class5,RF_Regressor_Predicted,bang4buck
10,31155,Adventist University Of Health Sciences,2,8,1,3,9,5347.0464,0,2160,12430.0,0,0.333333333,6539.0,925.0,18425.0,0.8664,,"$14,249,990 ",0.084337346,0.13769363,0.17728055,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,46006.06673407482,0.29677206,1.0265524920833333,-0.4075839364166666,0.6189685556666666,12430.0,0,0.526511735,0.8217294279262574,0.8664,0.9161884794147401,Good,4,3,3,0.0775804918315409,0.18734910986868494,0.4972915505045321,0.2019857389462707,0.03579310884897146,3,3,0.24,0.16,0.32,0.2,0.08,1.004665531454926,4,0.04777777777777778,0.06,0.1988888888888889,0.6866666666666666,0.006666666666666667,0.9902825849369253,0.8258668480155538
11,1542,Agnes Scott College,2,4,1,3,2,10864.845,0,915,35982.0,0,0.7201834859999999,8379.0,,16756.0,0.33129999,,"$10,964,269 ",0.049327355,0.19282511,0.036995515,31.884058000000003,0.0,0.0,10.144928,0.0,15.942029999999999,42.028984,0.0,51864.0350877193,-0.21076224599999993,0.8046933004166666,-0.4893832183333333,0.31531008208333333,35982.0,0,0.96737231,0.8217294279262574,0.33129999,1.0077095000030105,Medium,3,3,3,0.0052550734288429254,0.06225788733603526,0.4890013436833958,0.4238496865569001,0.019636008994825902,4,4,0.0,0.04,0.32,0.52,0.12,0.9229082349234519,3,0.012222222222222223,0.023333333333333334,0.6877777777777778,0.21333333333333335,0.06333333333333334,0.9107815057841694,0.2236377356502325
12,10056,Aiken Technical College,1,9,2,3,999,3317.917,0,2583,4132.0,1,0.093686354,5492.0,,5315.0,,,"$10,213,030 ",0.008818342,0.35493827,0.009700176,0.0,36.253040000000006,8.5158148,9.7323599,11.922141,24.3309,0.0,9.245741800000001,29399.79654120041,-0.09973645,0.5111675775,-0.6578709283333333,-0.1467033508333333,4132.0,1,0.5299555805,0.8217294279262574,0.08582384256000031,0.5053460286630085,Below Average,2,1,1,0.4712560125570857,0.3589632342595016,0.1679175504542128,0.0016096171051061736,0.0002535856240937832,1,1,0.48,0.48,0.04,0.0,0.0,0.5135266878969306,2,0.19,0.76,0.04666666666666667,0.0033333333333333335,0.0,0.5097708348606891,1.2370948148596321
13,1002,Alabama Agricultural & Mechanical University,1,5,1,3,5,6233.3809,1,4051,9096.0,1,0.29138322,7079.0,843.5,12683.0,0.1011,,"$34,854,014 ",0.002968037,0.90547943,0.0027397259999999996,1.2844037,20.917431,0.0,0.0,4.403669799999999,38.165138,35.229359,0.0,40446.927374301675,0.38572523,0.76406836125,-0.47451603725,0.28955232399999997,9096.0,0,0.37237725899999996,0.8217294279262574,0.1011,0.7604878332121592,Medium,3,3,2,0.04371426455589081,0.425185647027146,0.3116485249784586,0.21835758631538893,0.0010939771231155617,2,2,0.08,0.48,0.4,0.04,0.0,0.7472536045933387,3,0.017777777777777778,0.14777777777777779,0.8133333333333334,0.021111111111111112,0.0,0.7114684097166305,0.8400047946899736
14,1034,Alabama Southern Community College,1,9,2,3,999,5085.6196,0,1349,4260.0,1,0.23379629600000001,5869.0,,4737.0,,447.07693,"$6,497,806 ",0.003965107,0.36399683,0.0023790639999999997,0.0,24.723248,26.937269,19.926199,0.0,12.546125,0.0,15.867159,32067.03910614525,0.11312999999999995,0.5230231847916667,-0.7049010758333334,-0.18187789104166674,4260.0,0,0.38117074800000006,0.8217294279262574,0.2120393680994048,0.47272663215993466,Below Average,2,1,1,0.5458718988173756,0.3585485012609561,0.09366316090230485,0.0017203554924827688,0.00019608352688071213,1,1,0.56,0.44,0.0,0.0,0.0,0.513767898458525,2,0.20666666666666667,0.7811111111111111,0.012222222222222223,0.0,0.0,0.5120854932043389,1.2277539549100156
15,5463,Alamance Community College,1,9,2,3,999,3423.3433,0,4161,2175.0,1,0.106779661,6256.0,,10155.0,,423.0498,"$15,874,912 ",0.011130638,0.19390744,0.016110135,2.4479804,31.578946999999996,14.565482999999999,17.62546,1.4687883,23.745409,0.0,8.567931199999999,30106.382978723406,-0.12865809499999997,0.3907503304166667,-0.62583868375,-0.23508835333333328,2175.0,0,0.5077049499999999,0.8217294279262574,0.24883037172562658,0.5464884990659236,Worst,1,2,2,0.2364053651199226,0.570087317041511,0.19209879427387824,0.0010549642302400588,0.00035355933444796556,1,2,0.44,0.52,0.04,0.0,0.0,0.42473060937647006,1,0.7911111111111111,0.17555555555555555,0.03222222222222222,0.0011111111111111111,0.0,0.433738279472726,1.7965532432950193
16,37,Alamo Community College District,1,9,2,3,999,2376.6685,0,57634,5550.0,1,0.081574093,6148.9668,,3724.7588,,649.11945,"$145,992,282 ",0.024150413,0.07239721,0.51685667,2.1306818,13.778409,28.030303999999997,20.454546,4.971591,15.056818,3.5511362999999996,12.026515,37020.81051478642,0.22062884000000002,0.6241573254166666,-0.5727033991666667,0.05145392624999989,5550.0,0,0.40898737350000003,0.8217294279262574,0.1955469864358333,0.6168008977862329,Below Average,2,2,2,0.032631008073640166,0.7133783569463099,0.22197950649706158,0.03190646456737951,0.00010466391560891014,2,2,0.04,0.68,0.28,0.0,0.0,0.6280235556525007,2,0.06111111111111111,0.8544444444444445,0.08333333333333333,0.0011111111111111111,0.0,0.6234176763753754,1.1246077935435435
17,2885,Albany College Of Pharmacy And Health Sciences,2,8,1,1,9,10638.042,0,1078,30131.0,0,0.723484848,8530.0,1165.0,25442.0,0.366,,"$17,646,510 ",0.092943199,0.029259896,0.018932875,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94473.10243183494,0.24750828199999997,2.0896624017916667,-0.161807213375,1.9278551884166668,30131.0,0,0.9525836649999999,0.8217294279262574,0.366,1.239253344586344,Best,5,5,5,0.004445236595677619,0.00863257840001075,0.11180955644011568,0.4040858721757269,0.47102675638846897,3,4,0.04,0.08,0.24,0.4,0.24,1.8115931115852273,3,0.042222222222222223,0.07444444444444444,0.4022222222222222,0.21888888888888888,0.26222222222222225,1.750566403675874,0.6935257382070514
18,1544,Albany State University,1,5,1,3,4,5396.4805,1,3660,5192.0,1,0.42492012799999995,5607.0,880.0,12026.0,0.80080003,24.122553,"$23,734,100 ",0.000639182,0.9533396999999999,0.0035155,3.3132532,17.168674,22.289156,0.0,16.265060000000002,6.3253012,34.638554,0.0,37500.0,0.40016569599999996,0.6980582625,-0.4805184279583333,0.2175398345416667,5192.0,0,0.329300143,0.8217294279262574,0.80080003,0.6662959145978953,Below Average,2,2,2,0.15156667744432176,0.5562978460864363,0.18885640360919773,0.10290224176131552,0.0003768310987286124,2,2,0.12,0.56,0.28,0.04,0.0,0.6853833986867387,2,0.06888888888888889,0.8311111111111111,0.09222222222222222,0.0077777777777777776,0.0,0.685142228746954,1.3444881789291216
19,5601,Albany Technical College,1,9,2,3,999,3189.8547,0,3894,4746.0,1,0.410488246,4413.0,,186.0,,,"$11,578,255 ",0.004500818,0.65711945,0.00613748,0.0,25.094339,17.169811,0.0,0.3773585,1.3207548,0.0,56.037735,20394.736842105263,0.215426753,0.2907112155416667,-0.7191147443333333,-0.42840352879166665,4746.0,1,0.157343967,0.8217294279262574,0.2675458504312509,0.36447829977320234,Worst,1,1,1,0.750482541641033,0.18124422081028563,0.06124153444377502,0.006877090239537508,0.0001546128653686636,1,1,0.84,0.16,0.0,0.0,0.0,0.3265255523167928,1,0.9222222222222223,0.07222222222222222,0.005555555555555556,0.0,0.0,0.3289426284502326,0.612539434348223
20,1374,Albertus Magnus College,2,6,1,1,5,4813.6611,0,1278,28930.0,0,0.606299213,7601.0,,21573.0,0.3179,,"$8,356,542 ",0.009491904,0.18816304,0.074818537,2.3980815,72.422066,0.0,8.8729019,0.95923263,1.1990408000000001,14.148682,0.0,36180.124223602485,0.20852785999999998,1.1796609616666667,-0.36947479699999997,0.8101861646666667,28930.0,0,0.626856365,0.8217294279262574,0.3179,0.9243753020847807,Good,4,3,3,0.024209292241314153,0.08243995749009442,0.5574540919151942,0.28029022006747056,0.05560643828592672,3,3,0.0,0.2,0.64,0.12,0.04,1.073057914954816,4,0.0022222222222222222,0.05,0.2111111111111111,0.72,0.016666666666666666,0.893668185279383,0.407763899642816
21,2235,Albion College,2,6,1,2,3,11015.776000000002,0,1307,37300.0,0,0.736,6969.0,1130.0,18614.0,0.43610001,,"$18,761,022 ",0.021639343,0.021639343,0.007213115,23.270439,0.0,0.0,0.31446540000000006,0.31446540000000006,24.213836999999998,51.886790999999995,0.0,59014.55767077267,-0.16951758000000006,1.1124128708333334,-0.312387095625,0.8000257752083334,37300.0,0,1.210685105,0.8217294279262574,0.43610001,1.166351911318749,Good,4,4,4,0.0004886314173848308,0.05568767845120716,0.2527539309126618,0.5824330344039829,0.10863672481476319,4,4,0.0,0.04,0.2,0.52,0.24,1.1238401213552192,4,0.0011111111111111111,0.014444444444444444,0.1511111111111111,0.77,0.06333333333333334,1.121657743193937,0.2982340136282395
